suit_impurity,trump_percentage,high_card_count,low_card_count,leading,strategy,trump_suit,num_tricks,num_players,tricks_taken
0.71875,0.25,4,1,True,Random,C,8,5,3
0.59375,0.0,1,4,False,Random,C,8,5,0
0.71875,0.25,3,3,False,Random,C,8,5,0
0.6875,0.375,0,5,False,SimpleWinTricks,C,8,5,2
0.65625,0.5,1,1,False,Random,C,8,5,3
0.71875,0.25,4,1,True,Random,C,8,5,2
0.59375,0.0,1,4,False,Random,C,8,5,0
0.71875,0.25,3,3,False,Random,C,8,5,3
0.6875,0.375,0,5,False,SimpleWinTricks,C,8,5,1
0.65625,0.5,1,1,False,Random,C,8,5,2
0.71875,0.25,4,1,True,Random,C,8,5,3
0.59375,0.0,1,4,False,Random,C,8,5,1
0.71875,0.25,3,3,False,Random,C,8,5,1
0.6875,0.375,0,5,False,SimpleWinTricks,C,8,5,1
0.65625,0.5,1,1,False,Random,C,8,5,2
0.71875,0.25,4,1,True,Random,C,8,5,3
0.59375,0.0,1,4,False,Random,C,8,5,1
0.71875,0.25,3,3,False,Random,C,8,5,0
0.6875,0.375,0,5,False,SimpleWinTricks,C,8,5,1
0.65625,0.5,1,1,False,Random,C,8,5,3
0.71875,0.25,4,1,True,Random,C,8,5,2
0.59375,0.0,1,4,False,Random,C,8,5,0
0.71875,0.25,3,3,False,Random,C,8,5,1
0.6875,0.375,0,5,False,SimpleWinTricks,C,8,5,2
0.65625,0.5,1,1,False,Random,C,8,5,3
0.71875,0.25,4,1,True,Random,C,8,5,3
0.59375,0.0,1,4,False,Random,C,8,5,1
0.71875,0.25,3,3,False,Random,C,8,5,1
0.6875,0.375,0,5,False,SimpleWinTricks,C,8,5,0
0.65625,0.5,1,1,False,Random,C,8,5,3
0.71875,0.25,4,1,True,Random,C,8,5,3
0.59375,0.0,1,4,False,Random,C,8,5,0
0.71875,0.25,3,3,False,Random,C,8,5,0
0.6875,0.375,0,5,False,SimpleWinTricks,C,8,5,2
0.65625,0.5,1,1,False,Random,C,8,5,3
0.71875,0.25,4,1,True,Random,C,8,5,3
0.59375,0.0,1,4,False,Random,C,8,5,0
0.71875,0.25,3,3,False,Random,C,8,5,0
